Type,Disease,Growth Stage,Fertilizer,Quantity,Frequency,Notes,Soil Type,Weather
Leaf,Healthy,Seedling,Organic Compost,226g,Monthly,Ensure proper drainage,Clay,Dry season
Fruit,Healthy,Seedling,Organic Compost,151g,Monthly,Ensure proper drainage,Clay,Rainy season
Leaf,Healthy,Seedling,Organic Compost,242g,Monthly,Avoid wetting leaves,Clay,Both
Leaf,Healthy,Seedling,Organic Compost,171g,Monthly,Mix lightly into topsoil,Loam,Dry season
Leaf,Healthy,Seedling,Organic Compost,327g,Monthly,Clean fallen fruits,Loam,Rainy season
Leaf,Healthy,Seedling,Organic Compost,346g,Monthly,Avoid excess watering,Loam,Both
Leaf,Healthy,Seedling,Organic Compost,339g,Monthly,Avoid wetting leaves,Sandy,Dry season
Leaf,Healthy,Seedling,Organic Compost,265g,Monthly,Ensure proper drainage,Sandy,Rainy season
Leaf,Healthy,Seedling,Organic Compost,161g,Monthly,Avoid excess watering,Sandy,Both
Fruit,Healthy,Seedling,Organic Compost,178g,Monthly,Avoid wetting leaves,Not sure,Dry season
Leaf,Healthy,Seedling,Organic Compost,294g,Monthly,Ensure proper drainage,Not sure,Rainy season
Leaf,Healthy,Seedling,Organic Compost,237g,Monthly,Avoid wetting leaves,Not sure,Both
Leaf,Healthy,Vegetative,Organic Compost,210g,Bi-Weekly,Ensure proper drainage,Clay,Dry season
Leaf,Healthy,Vegetative,Bio Fertilizer,27ml,Weekly,Mix lightly into topsoil,Clay,Both
Fruit,Healthy,Vegetative,MOP,15g,Bi-Weekly,Apply after irrigation,Loam,Dry season
Fruit,Healthy,Vegetative,MOP,22g,Bi-Weekly,Clean fallen fruits,Loam,Rainy season
Fruit,Healthy,Vegetative,Urea,13g,Weekly,Clean fallen fruits,Loam,Both
Leaf,Healthy,Vegetative,NPK Mixture,15g,Monthly,Ensure proper drainage,Sandy,Dry season
Leaf,Healthy,Vegetative,Farmyard Manure,220g,Monthly,Avoid excess watering,Sandy,Rainy season
Leaf,Healthy,Vegetative,Farmyard Manure,251g,Bi-Weekly,Avoid excess watering,Sandy,Both
Leaf,Healthy,Vegetative,TSP,8g,Weekly,Ensure proper drainage,Not sure,Dry season
Fruit,Healthy,Vegetative,Farmyard Manure,285g,Weekly,Avoid wetting leaves,Not sure,Rainy season
Fruit,Healthy,Vegetative,Organic Compost,165g,Weekly,Ensure proper drainage,Not sure,Both
Leaf,Healthy,Flowering,TSP,13g,Weekly,Mix lightly into topsoil,Clay,Dry season
Leaf,Healthy,Flowering,TSP,19g,Monthly,Mix lightly into topsoil,Clay,Rainy season
Leaf,Healthy,Flowering,TSP,21g,Bi-Weekly,Ensure proper drainage,Clay,Both
Fruit,Healthy,Flowering,TSP,11g,Monthly,Clean fallen fruits,Loam,Dry season
Fruit,Healthy,Flowering,TSP,8g,Weekly,Ensure proper drainage,Loam,Rainy season
Fruit,Healthy,Flowering,TSP,19g,Bi-Weekly,Clean fallen fruits,Loam,Both
Leaf,Healthy,Flowering,TSP,18g,Weekly,Ensure proper drainage,Sandy,Dry season
Leaf,Healthy,Flowering,TSP,12g,Bi-Weekly,Mix lightly into topsoil,Sandy,Rainy season
Leaf,Healthy,Flowering,TSP,22g,Weekly,Mix lightly into topsoil,Sandy,Both
Fruit,Healthy,Flowering,TSP,18g,Monthly,Clean fallen fruits,Not sure,Dry season
Fruit,Healthy,Flowering,TSP,8g,Monthly,Clean fallen fruits,Not sure,Rainy season
Fruit,Healthy,Flowering,TSP,17g,Monthly,Mix lightly into topsoil,Not sure,Both
Leaf,Healthy,Fruiting,MOP,17g,Bi-Weekly,Avoid wetting leaves,Clay,Dry season
Fruit,Healthy,Fruiting,MOP,19g,Bi-Weekly,Avoid excess watering,Clay,Rainy season
Fruit,Healthy,Fruiting,MOP,14g,Bi-Weekly,Avoid wetting leaves,Clay,Both
Leaf,Healthy,Fruiting,MOP,13g,Bi-Weekly,Mix lightly into topsoil,Loam,Dry season
Leaf,Healthy,Fruiting,MOP,23g,Bi-Weekly,Clean fallen fruits,Loam,Rainy season
Leaf,Healthy,Fruiting,MOP,17g,Bi-Weekly,Avoid excess watering,Loam,Both
Leaf,Healthy,Fruiting,MOP,23g,Bi-Weekly,Avoid excess watering,Sandy,Dry season
Leaf,Healthy,Fruiting,MOP,25g,Bi-Weekly,Clean fallen fruits,Sandy,Rainy season
Fruit,Healthy,Fruiting,MOP,13g,Bi-Weekly,Apply after irrigation,Sandy,Both
Leaf,Healthy,Fruiting,MOP,8g,Bi-Weekly,Ensure proper drainage,Not sure,Dry season
